"Country or Area","Year","Value"
"Japan","2000","41474.3035517523"
"Japan","1999","41431.0874022745"
"Japan","1998","41366.229671637"
"Japan","1997","43678.9620385086"
"Japan","1996","44503.1722518203"
"Japan","1995","45806.8361246506"
"Japan","1994","47890.2539354229"
"Japan","1993","42802.5676779224"
"Japan","1992","48083.2641854464"
"Japan","1991","46856.5103039108"
"Japan","1990","48582.354583789"
"Latvia","2014","2082.2121449712"
"Latvia","2013","2010.24333265301"
"Latvia","2012","1971.18501563382"
"Latvia","2011","1897.76839603949"
"Latvia","2010","1949.62204571713"
"Latvia","2009","1944.00369228414"
"Latvia","2008","1962.60473631884"
"Latvia","2007","1967.57532337137"
"Latvia","2006","1906.51130709666"
"Latvia","2005","1929.4467468179"
"Latvia","2004","1871.48610903085"
"Latvia","2003","1894.3278431911"
"Latvia","2002","1988.24259225888"
"Latvia","2001","2011.12796529729"
"Latvia","2000","1922.67669825472"
"Latvia","1999","1886.83395140844"
"Latvia","1998","2020.44763487794"
"Latvia","1997","2114.37735818473"
"Latvia","1996","2149.65955409861"
"Latvia","1995","2195.31337202979"
"Latvia","1994","2221.6565284619"
"Latvia","1993","2399.58632889774"
"Latvia","1992","3127.74322563859"
"Latvia","1991","3618.13417296435"
"Latvia","1990","3671.25976256575"
"Liechtenstein","2014","20.604916295051"
"Liechtenstein","2013","19.9010173531568"
"Liechtenstein","2012","20.7844563777485"
"Liechtenstein","2011","20.3737358553615"
"Liechtenstein","2010","19.932714765938"
"Liechtenstein","2009","20.4682385094255"
"Liechtenstein","2008","20.7477032008307"
"Liechtenstein","2007","20.4636383509078"
"Liechtenstein","2006","20.0275559533513"
"Liechtenstein","2005","19.3132364778163"
"Liechtenstein","2004","18.618279576927"
"Liechtenstein","2003","18.5453134041077"
"Liechtenstein","2002","18.3519930401303"
"Liechtenstein","2001","18.0431819588685"
"Liechtenstein","2000","17.369543920951"
"Liechtenstein","1999","17.6046629524728"
"Liechtenstein","1998","18.2353000685398"
"Liechtenstein","1997","18.424472166493"
"Liechtenstein","1996","18.739888143299"
"Liechtenstein","1995","18.3065757362233"
"Liechtenstein","1994","18.4095160207945"
"Liechtenstein","1993","18.2064697958675"
"Liechtenstein","1992","19.0447482728985"
"Liechtenstein","1991","19.427332509758"
"Liechtenstein","1990","19.5448681479855"
"Lithuania","2014","3464.71200906324"
"Lithuania","2013","3420.26593617902"
"Lithuania","2012","3520.2622326953"
"Lithuania","2011","3505.33672585866"
"Lithuania","2010","3672.49491174983"
"Lithuania","2009","3708.3941133046"
"Lithuania","2008","3812.12741354936"
"Lithuania","2007","3828.72115070059"
"Lithuania","2006","3945.65980476589"
"Lithuania","2005","3927.75320855396"
"Lithuania","2004","3910.36577809041"
"Lithuania","2003","3926.60268517467"
"Lithuania","2002","3879.03670913168"
"Lithuania","2001","3818.39781470549"
"Lithuania","2000","3764.72211005541"
"Lithuania","1999","3973.11985881798"
"Lithuania","1998","4166.8419588454"
"Lithuania","1997","4333.212697407"
"Lithuania","1996","4357.3847907889"
"Lithuania","1995","4396.41137578976"
"Lithuania","1994","4532.41401940857"
"Lithuania","1993","4970.26928000649"
"Lithuania","1992","5540.78729828295"
"Lithuania","1991","6680.69092500982"
"Lithuania","1990","7006.655486476"
"Luxembourg","2014","578.848945492463"
"Luxembourg","2013","571.509112734277"
"Luxembourg","2012","567.564137037106"
"Luxembourg","2011","579.155090022415"
"Luxembourg","2010","605.388342437241"
"Luxembourg","2009","596.059166166682"
"Luxembourg","2008","594.572638988346"
"Luxembourg","2007","586.531291471803"
"Luxembourg","2006","576.538031763112"
"Luxembourg","2005","581.192207700899"
"Luxembourg","2004","583.986684151156"
"Luxembourg","2003","589.470578516704"
"Luxembourg","2002","602.574388214459"
"Luxembourg","2001","605.291655699578"
"Luxembourg","2000","605.300360457794"
"Luxembourg","1999","612.35769256732"
"Luxembourg","1998","609.239933612537"
"Luxembourg","1997","614.090221562596"
"Luxembourg","1996","616.674302794138"
"Luxembourg","1995","610.774874533831"
"Luxembourg","1994","597.962358421104"
"Luxembourg","1993","616.155806059571"
"Luxembourg","1992","617.188043702728"
"Luxembourg","1991","626.977822312807"
"Luxembourg","1990","619.79720020077"
"Malta","2014","196.512672670164"
"Malta","2013","188.678404880364"
"Malta","2012","186.649388252953"
"Malta","2011","185.964580851034"
"Malta","2010","196.620159883201"
"Malta","2009","185.942106974754"
"Malta","2008","174.395966541596"
"Malta","2007","173.255722109399"
"Malta","2006","161.796877820381"
"Malta","2005","149.102920708606"
"Malta","2004","139.922725337744"
"Malta","2003","134.610429373196"
"Malta","2002","133.252574514187"
"Malta","2001","132.208824495452"
"Malta","2000","130.415984367632"
"Malta","1999","118.218004406639"
"Malta","1998","113.968647524501"
"Malta","1997","121.810701627414"
"Malta","1996","114.735396897697"
"Malta","1995","112.679326178727"
"Malta","1994","107.984439625268"
"Malta","1993","100.163487380424"
"Malta","1992","91.6735549425145"
"Malta","1991","83.84207178692"
"Malta","1990","78.2784946699763"
"Monaco","2013","2.75869770987175"
"Monaco","2012","2.76529965369225"
"Monaco","2011","1.5204392572205"
"Monaco","2010","2.2046599731715"
"Monaco","2009","1.015465806253"
"Monaco","2008","2.17628555776875"
"Monaco","2007","2.65372153124075"
"Monaco","2006","2.61322817193625"
"Monaco","2005","2.2835949472065"
"Monaco","2004","2.167985793617"
"Monaco","2003","1.85785489892875"
"Monaco","2002","1.65734907206325"
"Monaco","2001","1.9009648622455"
"Monaco","2000","2.100792106079"
"Monaco","1999","1.84993117768775"
"Monaco","1998","1.07595012823325"
"Monaco","1997","0.8606488726735"
"Monaco","1996","1.347291326578"
"Monaco","1995","1.26807228418025"
"Monaco","1994","0.849257216906"
"Monaco","1993","1.11440107839475"
"Monaco","1992","1.42229023836975"
"Monaco","1991","1.67470953534925"
"Monaco","1990","1.78468944171875"
"Netherlands","2014","18771.5091659698"
"Netherlands","2013","19166.6903667133"
"Netherlands","2012","19178.5113761634"
"Netherlands","2011","19508.8084072993"
"Netherlands","2010","19991.0218467974"
"Netherlands","2009","19915.9141671014"
"Netherlands","2008","20131.5259390667"
"Netherlands","2007","19995.2227035279"
"Netherlands","2006","20009.3230427717"
"Netherlands","2005","20384.7089056172"
"Netherlands","2004","20966.3301413584"
"Netherlands","2003","21683.4239486584"
"Netherlands","2002","22787.5104119532"
"Netherlands","2001","24252.477084595"
"Netherlands","2000","25342.1695646155"
"Netherlands","1999","26493.871767821"
"Netherlands","1998","27791.9754500505"
"Netherlands","1997","28986.5752071457"
"Netherlands","1996","29941.6368265097"
"Netherlands","1995","30736.1230802944"
"Netherlands","1994","31549.133256387"
"Netherlands","1993","32645.9685900643"
"Netherlands","1992","32902.2308650947"
"Netherlands","1991","33327.3813536039"
"Netherlands","1990","32906.2235822508"
"New Zealand","2014","34813.0112773416"
"New Zealand","2013","34615.5036357438"
"New Zealand","2012","34720.8163742651"
"New Zealand","2011","34235.4903194342"
"New Zealand","2010","34057.8688418782"
"New Zealand","2009","34150.6927827583"
"New Zealand","2008","33678.6106062512"
"New Zealand","2007","34736.4523815952"
"New Zealand","2006","36072.4207586266"
"New Zealand","2005","35965.9762878402"
"New Zealand","2004","35664.0383589404"
"New Zealand","2003","35658.5319752869"
"New Zealand","2002","35417.1902201137"
"New Zealand","2001","35437.3491194536"
"New Zealand","2000","35269.0187216559"
"New Zealand","1999","34329.4057171005"
"New Zealand","1998","33956.0663275481"
"New Zealand","1997","34701.3779378346"
"New Zealand","1996","34018.1175394738"
"New Zealand","1995","33311.6528910972"
"New Zealand","1994","32947.7413897417"
"New Zealand","1993","32212.7506471288"
"New Zealand","1992","32085.961697341"
"New Zealand","1991","32407.4691855982"
"New Zealand","1990","32157.5939588451"
"Norway","2014","5369.15135574197"
"Norway","2013","5341.82845364398"
"Norway","2012","5344.4198428745"
"Norway","2011","5377.99251864038"
"Norway","2010","5522.60840583578"
"Norway","2009","5484.38677327953"
"Norway","2008","5562.01889713448"
"Norway","2007","5717.367617495"
"Norway","2006","5587.77961925883"
"Norway","2005","5714.28290780002"
"Norway","2004","5923.48070514935"
"Norway","2003","5977.83268145929"
"Norway","2002","5845.22072585589"
"Norway","2001","5998.5660170652"
"Norway","2000","5966.43807539703"
"Norway","1999","5901.22136802298"
"Norway","1998","6004.50907130999"
"Norway","1997","6202.65308716493"
"Norway","1996","6209.68053681859"
"Norway","1995","6147.24144232192"
"Norway","1994","6257.2327960805"
"Norway","1993","6189.09783545494"
"Norway","1992","6109.90977258505"
"Norway","1991","6021.96448777375"
"Norway","1990","6032.67910764945"
"Poland","2014","41330.2239177884"
"Poland","2013","42357.1053674555"
"Poland","2012","42588.0293419857"
"Poland","2011","42128.0184540177"
"Poland","2010","43166.3688921373"
"Poland","2009","42979.9466687696"
"Poland","2008","44522.5329455041"
"Poland","2007","45463.6886549986"
"Poland","2006","46921.4656459648"
"Poland","2005","47127.6113666599"
"Poland","2004","47387.9725173312"
"Poland","2003","48078.1252906339"
"Poland","2002","48140.6929560793"
"Poland","2001","50166.704126627"
"Poland","2000","49402.9453474548"
"Poland","1999","51883.1145515131"
"Poland","1998","53196.211518049"
"Poland","1997","56997.5006137546"
"Poland","1996","57780.8910703342"
"Poland","1995","58255.2326354076"
"Poland","1994","59184.8167449163"
"Poland","1993","59798.5582285691"
"Poland","1992","60719.2536724422"
"Poland","1991","64062.6127156915"
"Poland","1990","67064.0400741522"
"Portugal","2014","11374.1561796849"
"Portugal","2013","11560.465782546"
"Portugal","2012","11798.7302349001"
"Portugal","2011","12123.974738762"
"Portugal","2010","12108.0204084857"
"Portugal","2009","12448.6379070819"
"Portugal","2008","12553.8952717715"
"Portugal","2007","12799.6306415142"
"Portugal","2006","13004.4137934613"
"Portugal","2005","13508.0444706683"
"Portugal","2004","13521.2698686566"
"Portugal","2003","13510.7943363221"
"Portugal","2002","13270.3197187701"
"Portugal","2001","12958.8787386983"
"Portugal","2000","12639.4362223485"
"Portugal","1999","12743.7715374656"
"Portugal","1998","12531.4768578546"
"Portugal","1997","12071.4136178801"
